id,hhb,hbo2,ca,na
10094,7.7189264,3.7615812,8.567997,2.7748666
10095,7.7224793,3.7618043,8.572811,2.7732334
10096,7.7206974,3.762022,8.571222,2.7743347
10097,7.7187023,3.7613676,8.569834,2.774891
10098,7.7241125,3.7623782,8.5750475,2.7742915
10099,7.7234297,3.7622478,8.573402,2.7737343
10100,7.7252626,3.763678,8.575582,2.7764523
10101,7.713176,3.7588532,8.560746,2.7708912
10102,7.708338,3.7568624,8.555945,2.7701807
10103,7.721477,3.7614377,8.571343,2.7730556
10104,7.704855,3.7557917,8.554539,2.7688925
10105,7.70899,3.756984,8.557269,2.770067
10106,7.70895,3.7580302,8.559827,2.7701852
10107,7.717939,3.7609355,8.569247,2.7748737
10108,7.7190795,3.761816,8.568954,2.775151
10109,7.7240095,3.7630398,8.577646,2.7766142
10110,7.7180166,3.761774,8.570677,2.7732155
10111,7.724389,3.7632613,8.577798,2.7767603
10112,7.719599,3.7611723,8.567628,2.7719162
10113,7.7111616,3.7584493,8.55808,2.7716813
10114,7.7125683,3.7586913,8.563908,2.7723162
10115,7.7218766,3.761279,8.5722475,2.7732103
10116,7.7218943,3.7634838,8.572963,2.7757428
10117,7.7216988,3.7618093,8.574321,2.773874
10118,7.723185,3.763188,8.574251,2.776005
10119,7.722711,3.7624712,8.570474,2.7753456
10120,7.7172346,3.7611697,8.567169,2.774126
10121,7.7171926,3.7597504,8.566387,2.771173
10122,7.7117786,3.7586565,8.560776,2.7724068
10123,7.709699,3.7578745,8.55859,2.7711413
10124,7.72552,3.7637987,8.575994,2.7766783
10125,7.7136765,3.7593458,8.56313,2.7724626
10126,7.722541,3.7628856,8.573446,2.7757106
10127,7.7241035,3.7625885,8.57498,2.774552
10128,7.7240887,3.7632256,8.577197,2.775274
10129,7.7162857,3.7599428,8.563994,2.7712035
10130,7.7079477,3.7571647,8.559451,2.7703252
10131,7.722249,3.7628827,8.575755,2.7743056
10132,7.7127733,3.759213,8.560086,2.7721837
10133,7.71959,3.7612915,8.571295,2.7739546
10134,7.7151723,3.759847,8.565394,2.772609
10135,7.725897,3.7643642,8.577532,2.7769842
10136,7.723865,3.763251,8.572702,2.77513
10137,7.711587,3.7588437,8.558621,2.7717962
10138,7.7189064,3.7612545,8.565944,2.7723835
10139,7.710576,3.7583723,8.56076,2.7710402
10140,7.7054787,3.756125,8.549973,2.767501
10141,7.7220597,3.7635727,8.5731735,2.7757623
10142,7.7243085,3.7634125,8.577575,2.7754083
10143,7.7159843,3.7604303,8.563607,2.7725308
10144,7.7193685,3.7608635,8.568825,2.7724025
10145,7.7214766,3.7624602,8.569306,2.7741644
10146,7.7085576,3.756912,8.558384,2.7702982
10147,7.7269974,3.7645757,8.577434,2.7770407
10148,7.7085905,3.7574658,8.559961,2.770331
10149,7.7260237,3.76463,8.574882,2.7771952
10150,7.708555,3.7571597,8.557121,2.7704303
10151,7.7132745,3.7588146,8.564151,2.7720678
10152,7.7055626,3.7557054,8.556153,2.769517
10153,7.7122602,3.7582405,8.558434,2.769632
10154,7.7096834,3.757191,8.558463,2.7709312
10155,7.712281,3.7588093,8.562097,2.7721827
10156,7.7189913,3.761049,8.570382,2.7737296
10157,7.7299027,3.7666683,8.576662,2.7780821
10158,7.712322,3.758754,8.563033,2.7722595
10159,7.714583,3.7598028,8.56362,2.7735786
10160,7.719122,3.7615533,8.567168,2.7735913
10161,7.7235446,3.7623367,8.573681,2.7736387
10162,7.7207155,3.7624886,8.57463,2.7738934
10163,7.713718,3.7590415,8.563518,2.7720077
10164,7.7136526,3.7591815,8.561678,2.7719622
10165,7.7240243,3.7639313,8.57067,2.7759914
10166,7.7203546,3.7618506,8.5685005,2.7737958
10167,7.7251835,3.7636437,8.575612,2.7765753
10168,7.7174845,3.7613711,8.569689,2.7728589
10169,7.729341,3.765206,8.579678,2.7760203
10170,7.719356,3.760868,8.567925,2.7719104
10171,7.726118,3.7635071,8.57598,2.774802
10172,7.7085137,3.7575653,8.555009,2.7705984
10173,7.7232656,3.762201,8.573599,2.7735646
10174,7.723018,3.7626066,8.570254,2.7722793
10175,7.7119155,3.7587094,8.559316,2.7717755
10176,7.7216625,3.7622402,8.57071,2.7741249
10177,7.707609,3.7564628,8.553401,2.7695854
10178,7.7232847,3.762512,8.575915,2.7745092
10179,7.709117,3.75741,8.555436,2.769736
10180,7.729706,3.766574,8.576868,2.7781277
10181,7.725418,3.7637796,8.575741,2.7765396
10182,7.7274084,3.7650518,8.57545,2.7764456
10183,7.7248845,3.763321,8.575097,2.7756736
10184,7.720093,3.7615948,8.568936,2.7733607
10185,7.720683,3.763383,8.570035,2.7735248
10186,7.721795,3.7628324,8.576153,2.774144
10187,7.7291665,3.7651937,8.579246,2.7759619
10188,7.7255445,3.7632504,8.576254,2.7746637
10189,7.7093806,3.7577846,8.558719,2.7701871
10190,7.714631,3.7605624,8.563914,2.7721403
10191,7.7260404,3.7644994,8.577691,2.7770731
10192,7.7202506,3.7605662,8.570831,2.7726676
10193,7.718914,3.7611625,8.571013,2.7739928
10194,7.7170243,3.7613454,8.568753,2.7719145
10195,7.7074795,3.756566,8.556609,2.7701004
10196,7.706254,3.756038,8.55749,2.7697227
10197,7.703845,3.75541,8.553643,2.7685552
10198,7.712731,3.7588375,8.562191,2.7721632
10199,7.709095,3.7572622,8.557987,2.770459
10200,7.714871,3.759728,8.565117,2.772602
10201,7.7276278,3.764458,8.578221,2.7757099
10202,7.72129,3.7626727,8.575304,2.7738001
10203,7.7141385,3.7588775,8.562735,2.7704165
10204,7.714937,3.7599993,8.567134,2.7726545
10205,7.7205353,3.7626472,8.574311,2.7739635
10206,7.7238564,3.7622497,8.5752535,2.7740586
10207,7.70972,3.7580547,8.555291,2.7706583
10208,7.7173696,3.760594,8.561485,2.7717826
10209,7.7202854,3.7622933,8.574046,2.773684
10210,7.714707,3.7597764,8.564531,2.7732222
10211,7.7196465,3.7610621,8.573877,2.7733104
10212,7.7090473,3.7576165,8.553728,2.7687929
10213,7.7177887,3.7610037,8.566583,2.7742944
10214,7.7188864,3.7626498,8.568502,2.7728798
10215,7.7133036,3.7591217,8.5646,2.7724073
10216,7.710767,3.7585616,8.560207,2.770867
10217,7.72204,3.7622712,8.573808,2.7744272
10218,7.7075043,3.756351,8.557085,2.7699084
10219,7.711377,3.7581677,8.56219,2.7720053
10220,7.721889,3.7615657,8.572431,2.7733767
10221,7.7106695,3.7583928,8.556161,2.770836
10222,7.724696,3.7634494,8.5741205,2.7755191
10223,7.716682,3.7610285,8.565688,2.7741897
10224,7.721749,3.762643,8.571087,2.775655
10225,7.7215047,3.7621813,8.56917,2.7728512
10226,7.7044983,3.7556615,8.554599,2.7687466
10227,7.7073355,3.7565782,8.557853,2.769852
10228,7.722401,3.7624774,8.575962,2.7742078
10229,7.719231,3.761788,8.573186,2.772979
10230,7.7217336,3.762129,8.575399,2.7739518
10231,7.7101383,3.7573423,8.559171,2.770969
10232,7.707895,3.7571564,8.5554,2.7707913
10233,7.7043004,3.7556193,8.553623,2.7685058
10234,7.723544,3.7624185,8.573314,2.7744992
10235,7.714633,3.7605677,8.563906,2.7721562
10236,7.7220883,3.7626407,8.573159,2.775575
10237,7.7185917,3.761272,8.562902,2.7716253
10238,7.72465,3.7633963,8.573962,2.7759404
10239,7.7186956,3.7604742,8.568814,2.7726038
10240,7.708039,3.7566428,8.554782,2.7699723
10241,7.7221317,3.7621868,8.571032,2.7741969
10242,7.717538,3.761576,8.570282,2.772853
10243,7.7218657,3.7626455,8.5672865,2.773073
10244,7.7194576,3.7609832,8.573413,2.77322
10245,7.725138,3.7635198,8.575994,2.7764308
10246,7.721299,3.761852,8.569467,2.7723262
10247,7.7243285,3.763191,8.57786,2.7767484
10248,7.7038364,3.7551315,8.554842,2.7689116
10249,7.732003,3.7671852,8.580729,2.778716
10250,7.7105417,3.7578547,8.5575,2.7700844
10251,7.704806,3.7556145,8.55068,2.767482
10252,7.71639,3.7606826,8.570416,2.7722082
10253,7.713252,3.7588358,8.564557,2.7724488
10254,7.7226853,3.7619798,8.572993,2.7736409
10255,7.722269,3.7622414,8.574604,2.774085
10256,7.723282,3.7621655,8.573503,2.7742755
10257,7.7140503,3.7597764,8.565313,2.771992
10258,7.724001,3.7632883,8.573886,2.7759922
10259,7.70979,3.7582002,8.558225,2.7703724
10260,7.7289066,3.7655795,8.578546,2.7774093
10261,7.7104325,3.757564,8.560984,2.7716234
10262,7.7159553,3.76061,8.565191,2.773832
10263,7.7120786,3.7588768,8.561003,2.772574
10264,7.71339,3.7588477,8.564416,2.772041
10265,7.722745,3.7626343,8.576513,2.7743905
10266,7.7253485,3.7637248,8.575662,2.7766004
10267,7.713702,3.759448,8.561472,2.7728193
10268,7.704286,3.7555027,8.554627,2.7687051
10269,7.7198014,3.7612875,8.569211,2.774979
10270,7.7034893,3.7550087,8.554037,2.7683618
10271,7.715274,3.759493,8.560714,2.7711349
10272,7.717471,3.7610006,8.565262,2.7739904
10273,7.7158623,3.760121,8.565787,2.7724702
10274,7.723066,3.7625759,8.57579,2.7744603
10275,7.7150455,3.7600348,8.561564,2.7725394
10276,7.727129,3.7638795,8.57797,2.775321
10277,7.7242093,3.763337,8.576874,2.7751935
10278,7.717506,3.760076,8.563489,2.7700508
10279,7.7101383,3.7575722,8.554738,2.7693837
10280,7.700261,3.754037,8.545028,2.7663653
10281,7.7213297,3.7626748,8.575502,2.7738779
10282,7.712011,3.759409,8.563226,2.770808
10283,7.7257633,3.7634473,8.5766115,2.7747328
10284,7.712674,3.7584991,8.563334,2.772112
10285,7.7184563,3.762184,8.570457,2.772824
10286,7.728676,3.7656577,8.576777,2.7770452
10287,7.711564,3.759041,8.5624,2.7714117
10288,7.723543,3.763197,8.572302,2.7750719
10289,7.7235003,3.7630384,8.576632,2.7746274
10290,7.7223234,3.761642,8.573628,2.7735255
10291,7.724147,3.7627301,8.574655,2.774688
10292,7.7214866,3.761994,8.571258,2.7745874
10293,7.718053,3.7614336,8.567952,2.774719
10294,7.7167277,3.7609706,8.569452,2.7719948
10295,7.7175264,3.7610896,8.5657215,2.7735584
10296,7.7064357,3.7564154,8.557708,2.7697437
10297,7.711814,3.7587872,8.559884,2.772085
10298,7.728233,3.7647812,8.579035,2.775954
10299,7.720437,3.7609797,8.565495,2.7710943
10300,7.71888,3.7616649,8.568182,2.7743537
10301,7.724386,3.7633135,8.577297,2.7752829
10302,7.717724,3.7605953,8.563719,2.7710478
10303,7.715748,3.7599914,8.563476,2.771065
10304,7.7280226,3.7651732,8.577595,2.7768633
10305,7.7132874,3.7592561,8.564092,2.7725523
10306,7.7108293,3.758379,8.558862,2.771883
10307,7.7261496,3.7636912,8.576934,2.7749376
10308,7.713402,3.759296,8.5633545,2.7725546
10309,7.721211,3.7610567,8.572908,2.7732027
10310,7.7197065,3.761273,8.569045,2.7736485
10311,7.7097936,3.7577164,8.558162,2.7710483
10312,7.724844,3.762875,8.575045,2.774357
10313,7.7131796,3.759742,8.563504,2.7716086
10314,7.7233787,3.7629676,8.5775,2.7748947
10315,7.7135363,3.7594345,8.563193,2.773261
10316,7.722718,3.7622828,8.5753565,2.7742412
10317,7.715221,3.7597854,8.559387,2.771517
10318,7.7244453,3.763225,8.57797,2.7767527
10319,7.706229,3.7564404,8.555317,2.7691653
10320,7.7239785,3.7633152,8.57643,2.7753017
10321,7.728822,3.7650983,8.579691,2.7764308
10322,7.716516,3.7612715,8.568812,2.7724094
10323,7.7217593,3.761963,8.574196,2.7738693
10324,7.7212877,3.7617738,8.569667,2.7723334
10325,7.7205124,3.7619195,8.569325,2.774131
10326,7.714856,3.759751,8.563066,2.7725286
10327,7.71185,3.7583144,8.563102,2.7723563
10328,7.7111673,3.7581346,8.560617,2.7714171
10329,7.7177253,3.7607415,8.567007,2.77459
10330,7.709241,3.7574344,8.555327,2.770499
10331,7.713105,3.7587698,8.5636835,2.7722933
10332,7.716889,3.7602222,8.561567,2.7705986
10333,7.7155027,3.7598531,8.563688,2.7717993
10334,7.7196336,3.7602155,8.571223,2.7724335
10335,7.709155,3.7573862,8.5584345,2.7707927
10336,7.717491,3.761509,8.5703125,2.7721317
10337,7.718673,3.7613206,8.567873,2.7714243
10338,7.726398,3.7640734,8.576673,2.7771566
10339,7.7153573,3.759809,8.570233,2.772391
10340,7.7086463,3.7576659,8.556787,2.7698972
10341,7.7281556,3.7648513,8.581241,2.776198
10342,7.7115755,3.7578106,8.562153,2.771289
10343,7.7180386,3.7608314,8.5665455,2.7729495
10344,7.7193875,3.7614264,8.571619,2.7743137
10345,7.714802,3.7600334,8.564592,2.7732608
10346,7.7206173,3.7616553,8.568567,2.7724519
10347,7.7184787,3.7609913,8.566947,2.773034
10348,7.712835,3.75897,8.56404,2.7721503
10349,7.713619,3.7600358,8.563488,2.7718503
10350,7.720401,3.762603,8.573683,2.7738464
10351,7.7136197,3.7593524,8.562069,2.7716167
10352,7.7126026,3.758747,8.560567,2.7705956
10353,7.7148576,3.7600374,8.56237,2.772439
10354,7.7226567,3.7630796,8.574373,2.7744207
10355,7.713131,3.7591014,8.564693,2.7721937
10356,7.7214494,3.7619207,8.571105,2.773742
10357,7.7145486,3.760117,8.566018,2.7715504
10358,7.704979,3.7559295,8.554562,2.7686868
10359,7.7158585,3.760123,8.564442,2.772759
10360,7.7090406,3.757507,8.559062,2.7704072
10361,7.705229,3.7556078,8.54967,2.767215
10362,7.7107644,3.7575028,8.560903,2.7713459
10363,7.7228174,3.762599,8.572267,2.7745554
10364,7.7207303,3.7616346,8.568586,2.7726302
10365,7.7187862,3.761316,8.569549,2.7740104
10366,7.717338,3.7606363,8.566948,2.7711473
10367,7.707192,3.7568674,8.555973,2.7694352
10368,7.728075,3.7654185,8.575907,2.7764199
10369,7.720938,3.7617786,8.57395,2.7737887
10370,7.7267704,3.7642937,8.579835,2.775708
10371,7.7259197,3.7638602,8.575514,2.7756555
10372,7.720002,3.7617474,8.568834,2.7741015
10373,7.721641,3.7630968,8.575236,2.774256
10374,7.7123604,3.7589736,8.56179,2.7719963
10375,7.708512,3.7569005,8.556043,2.7702682
10376,7.7160006,3.7598982,8.564393,2.7721589
10377,7.713366,3.7592766,8.562302,2.7727082
10378,7.7228074,3.7627268,8.574695,2.7748802
10379,7.728404,3.7648783,8.578946,2.7764366
10380,7.708816,3.7571974,8.558291,2.7706897
10381,7.7219663,3.7624297,8.570078,2.7733285
10382,7.722572,3.763388,8.57669,2.7746418
10383,7.718896,3.761252,8.569737,2.7753305
10384,7.710295,3.7582383,8.556016,2.770245
10385,7.716188,3.7592707,8.566533,2.7713444
10386,7.7186575,3.7612658,8.567472,2.774416
10387,7.715727,3.760436,8.568927,2.7722392
10388,7.724819,3.7637022,8.574274,2.7759063
10389,7.7240167,3.7623115,8.575223,2.7742286
10390,7.7231607,3.7633958,8.573287,2.7743313
10391,7.7190714,3.7615535,8.569689,2.7749264
10392,7.72743,3.7646184,8.580013,2.7761543
10393,7.7105455,3.7578773,8.560191,2.7717164
10394,7.7173142,3.7615397,8.568729,2.7722862
10395,7.7218184,3.762377,8.573695,2.7746232
10396,7.7132616,3.758792,8.564102,2.7719946
10397,7.7246213,3.763332,8.578308,2.7768872
10398,7.725371,3.7631564,8.575661,2.7750266
10399,7.720689,3.7608685,8.571474,2.7726767
10400,7.721322,3.761116,8.572553,2.7730772
10401,7.726281,3.7642083,8.576211,2.7769496
10402,7.721887,3.7627876,8.575307,2.7742038
10403,7.7090483,3.757182,8.558048,2.7702057
10404,7.7113414,3.7581556,8.557778,2.769914
10405,7.7198596,3.7616727,8.570447,2.7741807
10406,7.7217956,3.7634404,8.572858,2.7756994
10407,7.713026,3.7593112,8.560197,2.7726624
10408,7.7080765,3.756976,8.558446,2.7701309
10409,7.7218914,3.7630157,8.567511,2.77441
10410,7.7213554,3.762634,8.568538,2.7745485
10411,7.713196,3.7594328,8.5608835,2.772452
10412,7.7194514,3.7622902,8.569158,2.7750766
10413,7.708838,3.7569914,8.556962,2.769966
10414,7.7255607,3.7640128,8.578518,2.7754447
10415,7.7199793,3.7603045,8.571265,2.7725194
10416,7.712284,3.758808,8.560913,2.7722611
10417,7.7238946,3.7633,8.573024,2.7754028
10418,7.7270136,3.7646518,8.5767,2.7772624
10419,7.726686,3.7639608,8.5778885,2.7759721
10420,7.725753,3.7633786,8.5760145,2.7752006
10421,7.723538,3.7630572,8.569358,2.7734988
10422,7.722376,3.7614594,8.573081,2.7736485
10423,7.716328,3.761106,8.567642,2.7718391
10424,7.7127504,3.7586315,8.562365,2.7717886
10425,7.714513,3.7594304,8.565609,2.7723563
10426,7.715779,3.7597775,8.564391,2.7722094
10427,7.710127,3.7580066,8.556913,2.7706783
10428,7.721725,3.762259,8.569974,2.7730863
10429,7.7275405,3.7653694,8.575673,2.7778919
10430,7.7244496,3.762827,8.574513,2.774032
10431,7.7146893,3.759829,8.56327,2.7734182
10432,7.7235556,3.7637591,8.570773,2.7764142
10433,7.725585,3.7638063,8.578766,2.7756994
10434,7.7190404,3.7617388,8.572551,2.7736456
10435,7.723611,3.7624218,8.574083,2.7744977
10436,7.710252,3.7582586,8.555603,2.7709143
10437,7.72287,3.7630582,8.573888,2.7758734
10438,7.725314,3.76377,8.575249,2.7763464
10439,7.726582,3.763869,8.576795,2.774779
10440,7.721656,3.7624085,8.568347,2.7736576
10441,7.719866,3.7621665,8.571185,2.7738228
10442,7.717874,3.7610073,8.564655,2.772725
10443,7.7249713,3.763494,8.575247,2.7765973
10444,7.719594,3.7614043,8.571536,2.774081
10445,7.714313,3.7593026,8.561944,2.772464
10446,7.7208314,3.7610283,8.571531,2.7729445
10447,7.7217865,3.7623515,8.570155,2.7735815
10448,7.7250137,3.7645314,8.5710125,2.7768586
10449,7.715406,3.7594867,8.561354,2.7701013
10450,7.722719,3.7626224,8.56904,2.7728016
10451,7.7256365,3.76399,8.578659,2.7756453
10452,7.7111397,3.7583573,8.559505,2.771635
10453,7.722372,3.7615047,8.572526,2.7734516
10454,7.7186937,3.7612834,8.568197,2.7750628
10455,7.7106524,3.758236,8.55742,2.771117
10456,7.706673,3.7567568,8.555982,2.769376
10457,7.7186627,3.7607899,8.563882,2.7710454
10458,7.7112155,3.758239,8.561309,2.7717025
10459,7.7160106,3.759434,8.560192,2.7697895
10460,7.7079644,3.7572896,8.556498,2.7696965
10461,7.7234864,3.7632103,8.572387,2.7752373
10462,7.7191324,3.7614336,8.5683565,2.774789
10463,7.7294207,3.7652378,8.579572,2.7761648
10464,7.7110033,3.7582011,8.557401,2.7701726
10465,7.721991,3.761523,8.5722,2.7736094
10466,7.728186,3.7650232,8.580859,2.7764966
10467,7.713234,3.759013,8.56462,2.7724454
10468,7.7132154,3.7595468,8.562863,2.7719345
10469,7.7087507,3.7574146,8.556372,2.7698958
10470,7.717568,3.7611222,8.570694,2.7732852
10471,7.7220707,3.7615507,8.572588,2.773196
10472,7.7218213,3.7634435,8.573049,2.775733
10473,7.7247586,3.763584,8.573469,2.7749412
10474,7.7142677,3.7598424,8.56569,2.7722158
10475,7.7127833,3.7590983,8.562242,2.7728503
10476,7.7217464,3.7634044,8.572754,2.7755754
10477,7.7170463,3.761094,8.56999,2.7721145
10478,7.7170954,3.7609172,8.570048,2.7731376
10479,7.7256727,3.764314,8.577357,2.776948
10480,7.726375,3.7637887,8.576356,2.7755105
10481,7.7222166,3.7625098,8.575539,2.773841
10482,7.724615,3.7636466,8.5691595,2.773965
10483,7.7117405,3.7588375,8.558451,2.7718794
10484,7.7178416,3.7608871,8.562322,2.772569
10485,7.7237463,3.7630994,8.573808,2.7759402
10486,7.7206936,3.762177,8.574205,2.7740018
10487,7.727524,3.7645822,8.580594,2.775915
10488,7.726078,3.7644632,8.577777,2.7770731
10489,7.716912,3.7607198,8.571308,2.7724426
10490,7.7294436,3.765255,8.579971,2.7764976
10491,7.7221527,3.7632306,8.576147,2.7744193
10492,7.720712,3.762349,8.572653,2.7740743
10493,7.7112784,3.758768,8.560254,2.7706358
10494,7.7229996,3.7624035,8.575638,2.7744558
10495,7.7184544,3.7606392,8.569049,2.772361
10496,7.716371,3.7604616,8.564926,2.7742574
10497,7.7082634,3.7575572,8.556538,2.7697504
10498,7.7204747,3.761879,8.568191,2.774249
10499,7.718253,3.762018,8.569043,2.7720087
10500,7.722496,3.762837,8.571895,2.7751122
10501,7.7216196,3.7633104,8.572781,2.7755716
10502,7.7068744,3.7568917,8.552661,2.7698572
10503,7.7086473,3.756923,8.557794,2.7702272
10504,7.7097793,3.757494,8.559592,2.7707732
10505,7.72221,3.7636447,8.573416,2.7758787
10506,7.719491,3.7613661,8.563978,2.7723002
10507,7.7226863,3.761858,8.572744,2.7735107
10508,7.7214627,3.762456,8.56509,2.7725687
10509,7.7226586,3.763379,8.567735,2.774452
10510,7.721613,3.7613776,8.571692,2.772727
10511,7.7287354,3.7650936,8.579625,2.7763917
10512,7.727001,3.764381,8.57975,2.7759364
10513,7.7101607,3.7576733,8.560072,2.7717144
10514,7.727739,3.7649386,8.580413,2.7762563
10515,7.7139626,3.7594206,8.565637,2.7725205
10516,7.7268977,3.764206,8.576872,2.7759326
10517,7.7220902,3.7613328,8.57317,2.773479
10518,7.7162724,3.7603548,8.5650015,2.7733548
10519,7.715085,3.760109,8.56425,2.7738688
10520,7.7139754,3.7597947,8.565991,2.7714005
10521,7.7239428,3.7630134,8.573082,2.7749202
10522,7.725626,3.7631712,8.575939,2.7746353
10523,7.7242923,3.763182,8.577725,2.7766693
10524,7.721859,3.763475,8.572797,2.7756693
10525,7.723791,3.7623472,8.574491,2.7739763
10526,7.7226963,3.763082,8.570129,2.774346
10527,7.72835,3.7648516,8.578707,2.7764184
10528,7.7159476,3.7604105,8.563319,2.7725267
10529,7.721882,3.7614455,8.571984,2.7736638
10530,7.722556,3.7630365,8.567464,2.773287
10531,7.7182813,3.7618322,8.569732,2.7721486
10532,7.7167673,3.7612386,8.568566,2.7719302
10533,7.730914,3.7660072,8.581042,2.777005
10534,7.7244453,3.7632334,8.578074,2.7767403
10535,7.724792,3.7634249,8.578599,2.7751496
10536,7.7106714,3.757946,8.558391,2.7707503
10537,7.7134037,3.7600865,8.563201,2.771313
10538,7.717888,3.760649,8.566387,2.7738483
10539,7.7203894,3.7622042,8.568692,2.7754557
10540,7.719339,3.7616377,8.5688095,2.774567
10541,7.7243323,3.7624676,8.57516,2.7742078
10542,7.7240705,3.7630537,8.577788,2.776628
10543,7.7228007,3.7627237,8.576572,2.7744284
10544,7.7080226,3.7571006,8.557473,2.7699618
10545,7.7235346,3.7627401,8.573695,2.7759511
10546,7.7236347,3.7630014,8.576606,2.7747777
10547,7.7144356,3.7597375,8.566064,2.7725983
10548,7.7153177,3.759823,8.564285,2.7723665
10549,7.72085,3.761795,8.571727,2.7739155
10550,7.7221746,3.7618282,8.571851,2.7732022
10551,7.7248435,3.7633662,8.575659,2.776251
10552,7.724251,3.7633743,8.577666,2.7754185
10553,7.725498,3.7636955,8.578398,2.77552
10554,7.719941,3.7605774,8.570887,2.7725568
10555,7.7228436,3.7631712,8.571142,2.7754004
